"activities-heart__value__restingHeartRate","activities-heart__value__heartRateZones__max","activities-heart__value__heartRateZones__caloriesOut","activities-heart__value__heartRateZones__minutes","activities-heart__value__heartRateZones__name","activities-heart__value__heartRateZones__min","activities-heart__dateTime","activities-heart-intraday__datasetType","activities-heart-intraday__datasetInterval","activities-heart-intraday__dataset__value","activities-heart-intraday__dataset__time"
"","","","","","","","","","71","01:13:50"
"","","","","","","","","","70","01:14:00"
"","","","","","","","","","70","01:14:15"
"","","","","","","","","","70","01:14:30"
"","","","","","","","","","70","01:14:45"
"","","","","","","","","","70","01:15:00"
"","","","","","","","","","70","01:15:15"
"","","","","","","","","","70","01:15:30"
"","","","","","","","","","70","01:15:45"
"","","","","","","","","","70","01:16:00"
"","","","","","","","","","69","01:16:10"
"","","","","","","","","","69","01:16:25"
"","","","","","","","","","71","01:16:30"
"","","","","","","","","","71","01:16:45"
"","","","","","","","","","72","01:16:50"
"","","","","","","","","","72","01:17:05"
"","","","","","","","","","72","01:17:20"
"","","","","","","","","","72","01:17:35"
"","","","","","","","","","72","01:17:50"
"","","","","","","","","","72","01:18:05"
"","","","","","","","","","72","01:18:20"
"","","","","","","","","","72","01:18:35"
"","","","","","","","","","72","01:18:50"
"","","","","","","","","","72","01:19:05"
"","","","","","","","","","71","01:19:10"
"","","","","","","","","","71","01:19:25"
"","","","","","","","","","68","01:19:30"
"","","","","","","","","","69","01:19:40"
"","","","","","","","","","68","01:19:50"
"","","","","","","","","","68","01:20:05"
"","","","","","","","","","68","01:20:20"
"","","","","","","","","","68","01:20:35"
"","","","","","","","","","68","01:20:50"
"","","","","","","","","","69","01:21:00"
"","","","","","","","","","69","01:21:15"
"","","","","","","","","","69","01:21:30"
"","","","","","","","","","69","01:21:45"
"","","","","","","","","","70","01:21:50"
"","","","","","","","","","69","01:22:00"
"","","","","","","","","","67","01:22:10"
"","","","","","","","","","67","01:22:25"
"","","","","","","","","","67","01:22:40"
"","","","","","","","","","67","01:22:55"
"","","","","","","","","","67","01:23:10"
"","","","","","","","","","67","01:23:25"
"","","","","","","","","","67","01:23:40"
"","","","","","","","","","67","01:23:55"
"","","","","","","","","","67","01:24:10"
"","","","","","","","","","67","01:24:25"
"","","","","","","","","","69","01:24:30"
"","","","","","","","","","69","01:24:45"
"","","","","","","","","","69","01:24:50"
"","","","","","","","","","67","01:25:00"
"","","","","","","","","","67","01:25:10"
"","","","","","","","","","67","01:25:25"
"","","","","","","","","","67","01:25:40"
"","","","","","","","","","67","01:25:55"
"","","","","","","","","","67","01:26:10"
"","","","","","","","","","67","01:26:25"
"","","","","","","","","","68","01:26:30"
"","","","","","","","","","68","01:26:45"
"","","","","","","","","","69","01:27:00"
"","","","","","","","","","68","01:27:10"
"","","","","","","","","","69","01:27:20"
